# tau(fm)  ecc_1  ecc_2  ecc_3  ecc_4  ecc_5  ecc_6
    3.50000000e+00  6.40016168e-02  4.59053939e-01  1.27621298e-01  2.15828010e-01  1.03708395e-01  5.99399406e-02  
    3.52000000e+00  6.35324190e-02  4.57186921e-01  1.26663351e-01  2.14109682e-01  1.02734932e-01  5.93563030e-02  
    3.54000000e+00  6.30631965e-02  4.55313980e-01  1.25709773e-01  2.12397476e-01  1.01771570e-01  5.87748728e-02  
    3.56000000e+00  6.25943882e-02  4.53438363e-01  1.24755369e-01  2.10688179e-01  1.00824818e-01  5.81946074e-02  
    3.58000000e+00  6.21258091e-02  4.51560126e-01  1.23804754e-01  2.08987313e-01  9.98896614e-02  5.76160088e-02  
    3.60000000e+00  6.16579322e-02  4.49675361e-01  1.22861900e-01  2.07297179e-01  9.89636788e-02  5.70443888e-02  
    3.62000000e+00  6.11902316e-02  4.47785641e-01  1.21917742e-01  2.05611338e-01  9.80451325e-02  5.64748016e-02  
    3.64000000e+00  6.07247337e-02  4.45895351e-01  1.20973151e-01  2.03933809e-01  9.71368904e-02  5.59129338e-02  
    3.66000000e+00  6.02606834e-02  4.44001778e-01  1.20027316e-01  2.02259906e-01  9.62386727e-02  5.53583894e-02  
    3.68000000e+00  5.97970198e-02  4.42105688e-01  1.19083095e-01  2.00593066e-01  9.53513867e-02  5.48041427e-02  
    3.70000000e+00  5.93346304e-02  4.40208463e-01  1.18138703e-01  1.98931692e-01  9.44724093e-02  5.42512991e-02  
    3.72000000e+00  5.88730430e-02  4.38307665e-01  1.17191288e-01  1.97273384e-01  9.36013956e-02  5.37033891e-02  
    3.74000000e+00  5.84125155e-02  4.36405711e-01  1.16239965e-01  1.95621820e-01  9.27360825e-02  5.31684346e-02  
    3.76000000e+00  5.79553846e-02  4.34507605e-01  1.15284758e-01  1.93978478e-01  9.18738755e-02  5.26471267e-02  
    3.78000000e+00  5.75000692e-02  4.32611782e-01  1.14327937e-01  1.92340993e-01  9.10168999e-02  5.21321838e-02  
    3.80000000e+00  5.70457387e-02  4.30716986e-01  1.13365440e-01  1.90704992e-01  9.01677764e-02  5.16198457e-02  
    3.82000000e+00  5.65918289e-02  4.28821429e-01  1.12402178e-01  1.89072183e-01  8.93208981e-02  5.11121605e-02  
    3.84000000e+00  5.61380451e-02  4.26927723e-01  1.11437688e-01  1.87440437e-01  8.84769653e-02  5.06073400e-02  
    3.86000000e+00  5.56847679e-02  4.25034735e-01  1.10472528e-01  1.85810118e-01  8.76314559e-02  5.01072428e-02  
    3.88000000e+00  5.52324744e-02  4.23142859e-01  1.09508529e-01  1.84182808e-01  8.67904701e-02  4.96131745e-02  
    3.90000000e+00  5.47816000e-02  4.21252717e-01  1.08547543e-01  1.82563990e-01  8.59558785e-02  4.91274736e-02  
    3.92000000e+00  5.43301181e-02  4.19363675e-01  1.07587455e-01  1.80947022e-01  8.51289889e-02  4.86466361e-02  
    3.94000000e+00  5.38795259e-02  4.17476786e-01  1.06631011e-01  1.79332394e-01  8.43055057e-02  4.81703468e-02  
    3.96000000e+00  5.34309407e-02  4.15591717e-01  1.05677809e-01  1.77722700e-01  8.34909933e-02  4.77002312e-02  
    3.98000000e+00  5.29831379e-02  4.13706467e-01  1.04726531e-01  1.76117890e-01  8.26866659e-02  4.72311852e-02  
    4.00000000e+00  5.25352076e-02  4.11821406e-01  1.03775876e-01  1.74516406e-01  8.18912610e-02  4.67595177e-02  
    4.02000000e+00  5.20882481e-02  4.09936232e-01  1.02826236e-01  1.72917406e-01  8.11039083e-02  4.62846614e-02  
    4.04000000e+00  5.16415786e-02  4.08051093e-01  1.01882265e-01  1.71326557e-01  8.03257057e-02  4.58105934e-02  
    4.06000000e+00  5.11945667e-02  4.06164420e-01  1.00945874e-01  1.69748539e-01  7.95638476e-02  4.53430493e-02  
    4.08000000e+00  5.07478609e-02  4.04278279e-01  1.00016802e-01  1.68184190e-01  7.88187886e-02  4.48814001e-02  
    4.10000000e+00  5.03010458e-02  4.02392084e-01  9.90935850e-02  1.66630799e-01  7.80941453e-02  4.44203725e-02  
    4.12000000e+00  4.98561641e-02  4.00502733e-01  9.81764790e-02  1.65085597e-01  7.73786801e-02  4.39638487e-02  
    4.14000000e+00  4.94131726e-02  3.98612504e-01  9.72657365e-02  1.63549762e-01  7.66716903e-02  4.35105436e-02  
    4.16000000e+00  4.89727810e-02  3.96722424e-01  9.63574942e-02  1.62024061e-01  7.59731633e-02  4.30731442e-02  
    4.18000000e+00  4.85338409e-02  3.94833955e-01  9.54494808e-02  1.60507407e-01  7.52866174e-02  4.26437322e-02  
    4.20000000e+00  4.80971495e-02  3.92945443e-01  9.45433078e-02  1.59000839e-01  7.46021522e-02  4.22189117e-02  
    4.22000000e+00  4.76627819e-02  3.91057726e-01  9.36361876e-02  1.57504202e-01  7.39199921e-02  4.17991265e-02  
    4.24000000e+00  4.72301210e-02  3.89171480e-01  9.27252839e-02  1.56019298e-01  7.32431896e-02  4.13852891e-02  
    4.26000000e+00  4.67992479e-02  3.87287021e-01  9.18096499e-02  1.54543471e-01  7.25768260e-02  4.09784731e-02  
    4.28000000e+00  4.63710725e-02  3.85407476e-01  9.08905359e-02  1.53074992e-01  7.19252266e-02  4.05806094e-02  
    4.30000000e+00  4.59446792e-02  3.83530446e-01  8.99652329e-02  1.51614515e-01  7.12867830e-02  4.01865608e-02  
    4.32000000e+00  4.55194048e-02  3.81657545e-01  8.90361285e-02  1.50156274e-01  7.06595277e-02  3.97982534e-02  
    4.34000000e+00  4.50954166e-02  3.79784346e-01  8.81101755e-02  1.48703855e-01  7.00337410e-02  3.94143293e-02  
    4.36000000e+00  4.46726019e-02  3.77914026e-01  8.71848334e-02  1.47251244e-01  6.94083863e-02  3.90320760e-02  
    4.38000000e+00  4.42502793e-02  3.76046339e-01  8.62624404e-02  1.45797863e-01  6.87876382e-02  3.86521791e-02  
    4.40000000e+00  4.38297219e-02  3.74183250e-01  8.53432506e-02  1.44348567e-01  6.81789959e-02  3.82744615e-02  
    4.42000000e+00  4.34101144e-02  3.72323029e-01  8.44251297e-02  1.42902555e-01  6.75848448e-02  3.79022368e-02  
    4.44000000e+00  4.29910029e-02  3.70467357e-01  8.35101466e-02  1.41460125e-01  6.70028735e-02  3.75356784e-02  
    4.46000000e+00  4.25739804e-02  3.68617638e-01  8.25990647e-02  1.40022883e-01  6.64280804e-02  3.71810527e-02  
    4.48000000e+00  4.21573355e-02  3.66773102e-01  8.16921010e-02  1.38587927e-01  6.58705325e-02  3.68283482e-02  
    4.50000000e+00  4.17430664e-02  3.64932936e-01  8.07917781e-02  1.37160674e-01  6.53247862e-02  3.64784428e-02  
    4.52000000e+00  4.13310693e-02  3.63093299e-01  7.99011674e-02  1.35745777e-01  6.47878062e-02  3.61421333e-02  
    4.54000000e+00  4.09193433e-02  3.61251154e-01  7.90216810e-02  1.34342703e-01  6.42622400e-02  3.58080472e-02  
    4.56000000e+00  4.05085837e-02  3.59411269e-01  7.81503229e-02  1.32956141e-01  6.37461871e-02  3.54698577e-02  
    4.58000000e+00  4.01004112e-02  3.57573562e-01  7.72839817e-02  1.31587478e-01  6.32367079e-02  3.51312453e-02  
    4.60000000e+00  3.96936981e-02  3.55736578e-01  7.64239899e-02  1.30236953e-01  6.27337945e-02  3.47920640e-02  
    4.62000000e+00  3.92881382e-02  3.53901443e-01  7.55686842e-02  1.28899352e-01  6.22337835e-02  3.44652676e-02  
